PCs/SiCs,0,1,2,3,4,5,6,7,8,9,10,Start,End,Rest
0,0.06976744186046512,0,0.12790697674418605,0,0.03488372093023256,0.26744186046511625,0,0.05813953488372093,0,0.08139534883720931,0.10465116279069768,0,0,0.2558139534883721
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.4528301886792453,0,0.03773584905660377,0,0.20754716981132076,0.03773584905660377,0,0.11320754716981132,0,0.018867924528301886,0.11320754716981132,0,0,0.018867924528301886
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.13513513513513514,0,0.4864864864864865,0,0,0.3783783783783784,0,0,0,0,0,0,0,0
5,0.05970149253731343,0,0.1417910447761194,0,0.13432835820895522,0.17164179104477612,0,0.2835820895522388,0,0,0.06716417910447761,0,0.007462686567164179,0.13432835820895522
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.25,0,0.025,0,0.0625,0.35,0,0.1375,0,0.1625,0,0,0,0.0125
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.05405405405405406,0,0,0,0,0.32432432432432434,0,0.32432432432432434,0,0.05405405405405406,0.24324324324324326,0,0,0
10,0.2972972972972973,0,0,0,0,0.24324324324324326,0,0.05405405405405406,0,0.32432432432432434,0.08108108108108109,0,0,0
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Rest,0.17543859649122806,0,0.017543859649122806,0,0,0.40350877192982454,0,0.10526315789473684,0,0.03508771929824561,0.017543859649122806,0,0,0.24561403508771928
